utterance,morphemecount,manual_morpheme_count,morpheme_diff,abs_morpheme_diff
<wa oh oh> = sings,7,3,4,4
<wa oh oh> = sings,7,3,4,4
<wa oh oh> = sings,7,3,4,4
<wa oh oh> = sings,7,3,4,4
do do do do,1,4,-3,3
do do do do,1,4,-3,3
do do do do,1,4,-3,3
I have pictured xxx thinking about it,10,9,1,1
just xxx the uh,5,4,1,1
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
mmhm,2,2,0,0
uh on the thirteenth of May,6,7,-1,1
we have a couple more things to pick out like the xxx,14,13,1,1
well I xxx at what,6,5,1,1
your seasoning is probably giving you I like the seasoning,10,14,-4,4
xxx look at but not so much on the weekends yeah,15,12,3,3
xxx start the same minutes I thought they were at home,13,12,1,1
I just listened to a story about a coin person,10,11,-1,1
take your laptop and watch something from Amazon Prime,12,9,3,3
hey hey do you want to go to xxx,8,9,-1,1
oh it ended up getting like,8,8,0,0
oh my gosh Bubby you did too much,10,8,2,2
I think we we did a winner there,8,8,0,0
you remember the snowman book you read,7,7,0,0
can you show me a different xxx,8,7,1,1
so you staying home for Christmas,7,7,0,0
it really focuses right in,7,7,0,0
Megan wants to come play,6,6,0,0
right here I need my baba,6,6,0,0
xxx one of my favorites,7,6,1,1
why do we have to w,6,6,0,0
you could be the pumpkin,5,5,0,0
my brother and I were,5,5,0,0
yeah that would be great,5,5,0,0
the blue one right,4,4,0,0
what else is there,4,4,0,0
what else is there,4,4,0,0
I love you enough,4,4,0,0
have you heard,3,4,-1,1
who is that,3,3,0,0
who is that,3,3,0,0
who is that,3,3,0,0
who is that,3,3,0,0
bang bang bang,1,3,-2,2
something bit me,5,3,2,2
on his feet,3,3,0,0
also xxx,3,2,1,1
chew chew,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
no no,1,2,-1,1
oh =laughs no,5,2,3,3
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
screaming,2,2,0,0
yes Daddy,3,2,1,1
you done,2,2,0,0
wakes,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
oh no,2,2,0,0
two step,2,2,0,0
yeah cookie,2,2,0,0
Daddy xxx,4,2,2,2
Daddy xxx,4,2,2,2
oh jeez,4,2,2,2
uh oh,2,2,0,0
uh oh,2,2,0,0
uh oh,2,2,0,0
uh oh,2,2,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
no,1,1,0,0
really,2,1,1,1
really,2,1,1,1
really,2,1,1,1
really,2,1,1,1
really,2,1,1,1
really,2,1,1,1
really,2,1,1,1
really,2,1,1,1
really,2,1,1,1
really,2,1,1,1
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
what,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
why,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
yeah,1,1,0,0
