group,VIHI_ID,MLU,pair
TD,TD_436_678,4.648863636363636,1
TD,TD_443_341,5.0581818181818186,2
TD,TD_444_402,5.475683890577508,3
TD,TD_445_217,5.172626387176326,7
TD,TD_447_448,5.95249406175772,4
TD,TD_448_304,5.610738255033557,5
TD,TD_449_716,5.259856630824372,8
TD,TD_463_254,5.29384965831435,11
TD,TD_464_188,4.625,12
TD,TD_465_541,5.404567699836868,9
TD,TD_472_829,4.95,14
TD,TD_473_844,5.502262443438914,15
TD,TD_474_966,4.774418604651163,13
TD,TD_475_481,3.723076923076923,16
TD,TD_477_217,4.366037735849057,10
VI,VI_001_676,4.486676016830295,1
VI,VI_002_336,6.058956916099773,2
VI,VI_003_405,5.080851063829787,3
VI,VI_004_415,6.277397260273973,4
VI,VI_005_411,7.324009324009324,6
VI,VI_007_204,4.692789968652038,7
VI,VI_008_707,5.611898016997167,8
VI,VI_012_562,6.303482587064677,9
VI,VI_013_206,4.414781297134239,10
VI,VI_014_242,5.4875,11
VI,VI_015_195,6.648881239242685,12
VI,VI_018_924,7.514018691588785,13
VI,VI_033_820,6.209821428571429,14
VI,VI_037_868,4.87719298245614,15
VI,VI_047_440,5.046575342465753,16
