eaf_filename,participant,transcription,transcription_id,xds,sampling_type,is_silent,VIHI_ID,group,utterance_clean,utt_num
TD_436_678.eaf,MC2,xxx you know Dad!,a489,A,random,N,TD_436_678,TD, you know Dad,1
TD_436_678.eaf,MC1,xxx my ball!,a481,A,random,N,TD_436_678,TD, my ball,2
TD_436_678.eaf,MC1,Dad!,a482,A,random,N,TD_436_678,TD,Dad,3
TD_436_678.eaf,MA1,what?,a366,C,random,N,TD_436_678,TD,what,4
TD_436_678.eaf,MC1,he took my ball!,a483,A,random,N,TD_436_678,TD,he took my ball,5
TD_436_678.eaf,MC1,he took my ball!,a484,A,random,N,TD_436_678,TD,he took my ball,6
TD_436_678.eaf,FA1,George!,a477,C,random,N,TD_436_678,TD,George,7
TD_436_678.eaf,FA1,stop it!,a478,C,random,N,TD_436_678,TD,stop it,8
TD_436_678.eaf,MC2,Dad!,a2184,A,random,N,TD_436_678,TD,Dad,9
TD_436_678.eaf,MC2,Dad!,a2185,A,random,N,TD_436_678,TD,Dad,10
TD_436_678.eaf,MC1,no not me!,a72,A,random,N,TD_436_678,TD,no not me,11
TD_436_678.eaf,MC1,no!,a73,A,random,N,TD_436_678,TD,no,12
TD_436_678.eaf,MC1,no!,a74,A,random,N,TD_436_678,TD,no,13
TD_436_678.eaf,MC1,I need the xxx Mommy.,a3143,A,high-volubility,N,TD_436_678,TD,I need the  Mommy,14
TD_436_678.eaf,MA1,that's it.,a3133,A,high-volubility,N,TD_436_678,TD,that's it,15
TD_436_678.eaf,FA1,xxx put the xxx.,a3103,A,high-volubility,N,TD_436_678,TD, put the ,16
TD_436_678.eaf,MA1,<where is this> [=! whispers]?,a3134,A,high-volubility,N,TD_436_678,TD,<where is this> = whispers,17
TD_436_678.eaf,MC1,Momma xxx.,a3145,A,high-volubility,N,TD_436_678,TD,Momma ,18
TD_436_678.eaf,FA1,xxx she's playing.,a3104,A,high-volubility,N,TD_436_678,TD, she's playing,19
TD_436_678.eaf,FA1,hm.,a3106,A,high-volubility,N,TD_436_678,TD,hm,20
TD_436_678.eaf,MA1,is that-.,a3135,A,high-volubility,N,TD_436_678,TD,is that,21
