"","VIHI_ID","sentence","token","lemma","upos","CBOI_Mean","group"
"1","TD_463_254","oh why","why","why","ADV",3.038461538,"TD"
"2","TD_463_254","lets go","lets","let","NOUN",2.857142857,"TD"
"3","TD_463_254","lets go","go","go","VERB",3.444444444,"TD"
"4","TD_463_254","lets go","lets","let","NOUN",2.857142857,"TD"
"5","TD_463_254","lets go","go","go","VERB",3.444444444,"TD"
"6","TD_463_254","lets go","lets","let","NOUN",2.857142857,"TD"
"7","TD_463_254","lets go","go","go","VERB",3.444444444,"TD"
"8","TD_463_254","some have xxx","have","have","VERB",2.977777778,"TD"
"9","TD_463_254","Im going sleep in there","going","go","VERB",3.444444444,"TD"
"10","TD_463_254","Im going sleep in there","sleep","sleep","NOUN",4.966666667,"TD"
"11","TD_463_254","Im going sleep in there","there","there","ADV",2.958333333,"TD"
"12","TD_463_254","go in","go","go","VERB",3.444444444,"TD"
"13","TD_463_254","go in","in","in","ADV",3.692307692,"TD"
"14","TD_463_254","okay and then I can watch xxx","okay","okay","ADJ",2.978723404,"TD"
"15","TD_463_254","okay and then I can watch xxx","then","then","ADV",2.086956522,"TD"
"16","TD_463_254","okay and then I can watch xxx","watch","watch","VERB",4.875,"TD"
"17","TD_463_254","what happened","happened","happen","VERB",2.166666667,"TD"
"18","TD_463_254","can we facetime him too","too","too","ADV",2.451612903,"TD"
"19","TD_463_254","kind of tricky","kind","kind","NOUN",3.259259259,"TD"
"20","TD_463_254","kind of tricky","tricky","tricky","NOUN",2.576923077,"TD"
"21","TD_463_254","can I do it xxx","do","do","VERB",3.674418605,"TD"
"22","TD_463_254","watch me","watch","watch","VERB",4.875,"TD"
"23","TD_463_254","two graham crackers","crackers","cracker","NOUN",6.52,"TD"
"24","TD_463_254","now give me that","now","now","ADV",3.115384615,"TD"
"25","TD_463_254","now give me that","give","give","VERB",3.607142857,"TD"
"26","TD_463_254","careful xxx","careful","careful","ADJ",3.208333333,"TD"
"27","TD_463_254","do you have playdough","have","have","VERB",2.977777778,"TD"
"28","TD_463_254","that we can maybe xxx","maybe","maybe","ADV",3.391304348,"TD"
"29","TD_463_254","no you tried to put him in his thingy","tried","try","VERB",3.791666667,"TD"
"30","TD_463_254","no you tried to put him in his thingy","put","put","VERB",2.419354839,"TD"
"31","TD_463_254","<hey why did you let xxx have it> = shrieks","why","why","ADV",3.038461538,"TD"
"32","TD_463_254","<hey why did you let xxx have it> = shrieks","let","let","VERB",2.857142857,"TD"
"33","TD_463_254","<hey why did you let xxx have it> = shrieks","have","have","VERB",2.977777778,"TD"
"34","TD_463_254","then after anybody xxx then I have to watch trains","then","then","ADV",2.086956522,"TD"
"35","TD_463_254","then after anybody xxx then I have to watch trains","then","then","ADV",2.086956522,"TD"
"36","TD_463_254","then after anybody xxx then I have to watch trains","have","have","VERB",2.977777778,"TD"
"37","TD_463_254","then after anybody xxx then I have to watch trains","watch","watch","VERB",4.875,"TD"
"38","TD_463_254","then after anybody xxx then I have to watch trains","trains","train","NOUN",5.666666667,"TD"
"39","TD_463_254","=sighs","sighs","sigh","NOUN",3.24137931,"TD"
"40","TD_463_254","why do we have to w","why","why","ADV",3.038461538,"TD"
"41","TD_463_254","why do we have to w","have","have","VERB",2.977777778,"TD"
"42","TD_463_254","lets go lets go lets go lets go okay","lets","let","NOUN",2.857142857,"TD"
"43","TD_463_254","lets go lets go lets go lets go okay","go","go","VERB",3.444444444,"TD"
"44","TD_463_254","lets go lets go lets go lets go okay","lets","let","NOUN",2.857142857,"TD"
"45","TD_463_254","lets go lets go lets go lets go okay","go","go","VERB",3.444444444,"TD"
"46","TD_463_254","lets go lets go lets go lets go okay","lets","let","NOUN",2.857142857,"TD"
"47","TD_463_254","lets go lets go lets go lets go okay","go","go","VERB",3.444444444,"TD"
"48","TD_463_254","lets go lets go lets go lets go okay","lets","let","NOUN",2.857142857,"TD"
"49","TD_463_254","lets go lets go lets go lets go okay","go","go","VERB",3.444444444,"TD"
"50","TD_463_254","lets go lets go lets go lets go okay","okay","okay","ADJ",2.978723404,"TD"
"51","TD_463_254","lets go lets go lets go lets go lets go lets","lets","let","NOUN",2.857142857,"TD"
"52","TD_463_254","lets go lets go lets go lets go lets go lets","go","go","VERB",3.444444444,"TD"
"53","TD_463_254","lets go lets go lets go lets go lets go lets","lets","let","NOUN",2.857142857,"TD"
"54","TD_463_254","lets go lets go lets go lets go lets go lets","go","go","VERB",3.444444444,"TD"
"55","TD_463_254","lets go lets go lets go lets go lets go lets","lets","let","NOUN",2.857142857,"TD"
"56","TD_463_254","lets go lets go lets go lets go lets go lets","go","go","VERB",3.444444444,"TD"
"57","TD_463_254","lets go lets go lets go lets go lets go lets","lets","let","NOUN",2.857142857,"TD"
"58","TD_463_254","lets go lets go lets go lets go lets go lets","go","go","VERB",3.444444444,"TD"
"59","TD_463_254","lets go lets go lets go lets go lets go lets","lets","let","NOUN",2.857142857,"TD"
"60","TD_463_254","lets go lets go lets go lets go lets go lets","go","go","VERB",3.444444444,"TD"
"61","TD_463_254","lets go lets go lets go lets go lets go lets","lets","let","NOUN",2.857142857,"TD"
"62","TD_463_254","woah why is he doing that","why","why","ADV",3.038461538,"TD"
"63","TD_463_254","woah why is he doing that","doing","do","VERB",3.674418605,"TD"
"64","TD_463_254","hes looking at you guys","hes","he","NOUN",3.869565217,"TD"
"65","TD_463_254","hes looking at you guys","looking","look","VERB",4.565217391,"TD"
"66","TD_463_254","hes looking at you guys","guys","guy","NOUN",4.6875,"TD"
"67","TD_463_254","I dont know why that one","know","know","VERB",3.615384615,"TD"
"68","TD_463_254","I dont know why that one","why","why","ADV",3.038461538,"TD"
"69","TD_463_254","I dont know why that one","one","one","NOUN",3.52,"TD"
"70","TD_463_254","all gone","gone","gone","ADJ",3.923076923,"TD"
"71","TD_463_254","I want that","want","want","VERB",3.375,"TD"
"72","TD_463_254","<no no> = squeals","squeals","squeal","NOUN",3.806451613,"TD"
"73","TD_463_254","xxx done yuck","done","do","VERB",3.674418605,"TD"
"74","TD_463_254","um I think thats","think","think","VERB",3.518518519,"TD"
"75","TD_463_254","no I think","think","think","VERB",3.518518519,"TD"
"76","TD_463_254","I wanna see disney xxx","wan","want","VERB",3.375,"TD"
"77","TD_463_254","I wanna see disney xxx","see","see","VERB",4.692307692,"TD"
"78","TD_463_254","this one has two","one","one","NOUN",3.52,"TD"
"79","TD_463_254","this one has two","has","have","VERB",2.977777778,"TD"
"80","TD_463_254","it get this one out too","get","get","VERB",3.423076923,"TD"
"81","TD_463_254","it get this one out too","one","one","NOUN",3.52,"TD"
"82","TD_463_254","it get this one out too","out","out","ADV",3.488888889,"TD"
"83","TD_463_254","it get this one out too","too","too","ADV",2.451612903,"TD"
"84","TD_463_254","I got a monkey","got","get","VERB",3.423076923,"TD"
"85","TD_463_254","I got a monkey","monkey","monkey","NOUN",3.53125,"TD"
"86","TD_463_254","I got a monkey Mom","got","get","VERB",3.423076923,"TD"
"87","TD_463_254","I got a monkey Mom","monkey","monkey","NOUN",3.53125,"TD"
"88","TD_463_254","I got a monkey Mom","Mom","mom","NOUN",6.5,"TD"
"89","TD_463_254","Mom Mom Mom Mom","Mom","mom","NOUN",6.5,"TD"
"90","TD_463_254","Mom Mom Mom Mom","Mom","mom","NOUN",6.5,"TD"
