Word,manual_modality
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
a,Amodal
about,Amodal
about,Amodal
about,Amodal
about,Amodal
about,Amodal
am,Amodal
am,Amodal
an,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
and,Amodal
