"","...1","Word","VIHI_ID","group","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","sampling_type","utt_loc","uttnum","xds","speaker","Modality"
"1",1,"much","TD_445_217","TD",1.875,0.8125,1.4375,0.9375,0.6875,3.0625,0.476190476,1.142857143,1.80952381,0.761904762,0.380952381,2.028957039,1.721191448,1.998958062,1.806239187,1.701714821,2.174664725,1.123345344,1.651838802,1.88730092,1.374945886,1.023532631,3.0625,3.419109779,0.269503546,"Visual",1.80952381,2.001941749,0.3125,"Head",3.0625,3.634084265,0.200355793,"Visual","high-volubility","Word2",2695,"C","FA1","Amodal"
"2",2,"living","VI_001_676","VI",3.2,2.2,2.85,3.8,2.4,3.8,2.736842105,3.157894737,4,3.315789474,2.894736842,2.092593455,2.353049533,2.433861995,2.067289097,2.392972166,1.735086832,1.694504361,1.740471133,1.414213562,1.765491168,1.822535988,3.8,5.750239436,0.087671233,"Interoceptive",4,5.61153043,0.078431373,"Head",4,7.158533134,0.052393719,"Head","high-volubility","Word4",41819,"A","FA3","Multimodal"
"3",3,"up","TD_445_217","TD",0.6,0,1.333333333,2.066666667,0,4.133333333,2.55,3.05,2.7,1.65,2.15,1.352246808,0,2.023669463,2.250925735,0,1.457329587,2.163695669,2.064104241,2.178845663,2.007223796,2.033275812,4.133333333,4.344994234,0.508196721,"Visual",3.05,4.292062154,0.115702479,"Hand_arm",4.133333333,5.441208923,0.204283361,"Visual","random","Word4",3196,"C","FA1","Visual"
"4",4,"of","VI_018_924","VI",1.5625,0.625,0.625,1.0625,0.625,1.0625,0.176470588,0.176470588,0.764705882,0.470588235,0,2.032035105,1.707825128,1.707825128,2.015564437,1.707825128,1.982212568,0.727606875,0.727606875,1.678146737,1.374665735,0,1.5625,1.908003627,0.168539326,"Auditory",0.764705882,0.825425802,0.481481481,"Head",1.5625,1.958166969,0.218508997,"Auditory","random","Word8",44490,"O","FA1","Amodal"
"5",5,"look","TD_473_844","TD",0,0,0,0.055555556,0,4.222222222,0.35,0.4,4.55,0.55,0.5,0,0,0,0.23570226,0,1.437135859,0.812727701,0.994722918,0.825577947,1.316894273,1.147078669,4.222222222,4.222225428,0.987012987,"Visual",4.55,4.556403253,0.661417323,"Head",4.55,5.538191811,0.428123366,"Head","random","Word1",20370,"C","FA1","Visual"
"6",6,"so","VI_015_195","VI",1.647058824,0.176470588,0.176470588,0.588235294,0.176470588,0.941176471,0.055555556,0.277777778,1.166666667,0.944444444,0.055555556,1.800735144,0.727606875,0.727606875,1.416810835,0.727606875,1.819017188,0.23570226,0.751903902,1.823054967,1.589384721,0.23570226,1.647058824,1.767511876,0.396825397,"Auditory",1.166666667,1.3484959,0.444444444,"Head",1.647058824,1.997834424,0.256450764,"Auditory","high-volubility","Word2",45145,"C","FA1","Amodal"
"7",7,"you","VI_047_440","VI",2.5,0.555555556,3,3.722222222,1.388888889,3.555555556,3.263157895,3.526315789,4.421052632,3.842105263,3.526315789,2.007339474,1.247219129,1.814970426,1.447332457,1.883016631,1.68809751,2.207112373,2.091475318,1.304513084,1.863782233,2.245202813,3.722222222,5.217055148,0.21509434,"Interoceptive",4.421052632,6.427795996,0.062322946,"Head",4.421052632,7.414255961,0.116076916,"Head","high-volubility","Word4",43424,"A","FA1","Multimodal"
"8",8,"was","VI_047_440","VI",0.611111111,0.055555556,0.111111111,1.166666667,0.055555556,0.833333333,0.263157895,0.315789474,1.842105263,0.789473684,0.105263158,1.195033295,0.23570226,0.323380833,1.886484437,0.23570226,1.294785924,0.733492806,0.749268649,2.217685427,1.474936811,0.315301768,1.166666667,1.338234278,0.392156863,"Interoceptive",1.842105263,1.893964923,0.523809524,"Head",1.842105263,2.094654009,0.290537328,"Head","high-volubility","Word5",43508,"C","FA1","Amodal"
"9",9,"go","TD_463_254","TD",1.736842105,0.473684211,0.736842105,1.894736842,0.578947368,2.421052632,3.6,1.95,2.6,1.75,1.75,1.939132259,1.306752593,1.446916463,2.078854835,1.346426937,2.090076805,1.846761034,1.820208201,1.875043859,1.996707817,1.888329811,2.421052632,2.997514045,0.248322148,"Visual",3.6,4.35092903,0.158798283,"Foot_leg",3.6,4.781213604,0.160388821,"Foot_leg","random","Word1",345,"A","FC1","Amodal"
"10",10,"big","VI_037_868","VI",0.944444444,0.166666667,2.722222222,0.333333333,0.111111111,3.888888889,1,1.9,3.1,1.35,0.95,1.304842664,0.707106781,1.994272846,0.9701425,0.471404521,1.875190622,1.297771369,1.997366687,1.916685736,1.631111988,1.394538218,3.888888889,4.306568536,0.462585034,"Visual",3.1,3.447312897,0.259036145,"Head",3.888888889,4.9439018,0.229419703,"Visual","high-volubility","Word5",39335,"C","FA1","Multimodal"
"11",11,"think","TD_463_254","TD",1.117647059,0.294117647,0.529411765,3.529411765,0.352941176,1,0.095238095,0.142857143,4.761904762,0.095238095,0.19047619,1.691240408,1.212678125,1.504893977,1.972233729,1.221739358,1.695582496,0.300792604,0.358568583,1.091089451,0.300792604,0.679635757,3.529411765,3.598015171,0.474137931,"Interoceptive",4.761904762,4.762074597,0.882882883,"Head",4.761904762,5.366714848,0.385380523,"Head",NA,"Word2",1089,"B","FA1","Multimodal"
"12",12,"and","VI_002_336","VI",1.842105263,0.157894737,0.421052632,0.473684211,0.210526316,1.315789474,0.315789474,0.631578947,0.947368421,1.368421053,0.368421053,2.115108558,0.688247202,1.304513084,0.964274111,0.713282504,1.857496271,1.157230006,1.570934835,1.71508614,1.94965884,1.211542924,1.842105263,2.058531763,0.380952381,"Auditory",1.368421053,1.553087555,0.289855072,"Mouth",1.842105263,2.318893547,0.209150327,"Auditory","random","Word12",38044,"A","FA1","Amodal"
"13",13,"are","VI_004_415","VI",1.5625,0.375,0.375,0.6875,0.3125,0.9375,1.285714286,1.285714286,2.047619048,1.666666667,1.047619048,1.998958062,1.258305739,1.258305739,1.701714821,1.25,1.806239187,1.847778589,1.764733893,1.909874092,1.906130461,1.687488977,1.5625,1.721256673,0.294117647,"Auditory",2.047619048,2.650267842,0.136363636,"Head",2.047619048,2.873030897,0.14979445,"Head","random","Word1",25118,"C","FA1","Amodal"
"14",14,"this","VI_012_562","VI",1.333333333,0.714285714,1.142857143,0.619047619,0.285714286,2.142857143,1.052631579,1.526315789,2.105263158,1.210526316,0.894736842,1.770122406,1.488047618,1.590148241,1.203170415,0.783763813,2.007130147,1.928548222,2.143942916,2.306867449,1.960128889,1.663154193,2.142857143,2.428803307,0.297709924,"Visual",2.105263158,2.548035503,0.178294574,"Head",2.142857143,3.137010437,0.142554829,"Visual","random","Word2",24470,"A","UC1","Amodal"
