Word,manual_modality
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
a,amodal
about,amodal
about,amodal
about,amodal
about,amodal
about,amodal
am,amodal
am,amodal
an,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
and,amodal
another,amodal
another,amodal
any,amodal
any,amodal
any,amodal
are,amodal
are,amodal
are,amodal
are,amodal
are,amodal
are,amodal
are,amodal
are,amodal
are,amodal
are,amodal
