group,VIHI_ID,total,pair,Modality,prop
TD,TD_436_678,495,1,Auditory,0.03636363636363636
TD,TD_436_678,495,1,Visual,0.10303030303030303
TD,TD_436_678,495,1,Olfactory,0
TD,TD_436_678,495,1,Gustatory,0
TD,TD_436_678,495,1,Haptic,0
TD,TD_436_678,495,1,Interoceptive,0.00202020202020202
TD,TD_436_678,495,1,Multimodal,0.49292929292929294
TD,TD_436_678,495,1,Amodal,0.3656565656565657
TD,TD_443_341,321,2,Auditory,0.08722741433021806
TD,TD_443_341,321,2,Visual,0.08722741433021806
TD,TD_443_341,321,2,Olfactory,0.009345794392523364
TD,TD_443_341,321,2,Gustatory,0
TD,TD_443_341,321,2,Haptic,0
TD,TD_443_341,321,2,Interoceptive,0.009345794392523364
TD,TD_443_341,321,2,Multimodal,0.42679127725856697
TD,TD_443_341,321,2,Amodal,0.38006230529595014
TD,TD_444_402,520,3,Auditory,0.026923076923076925
TD,TD_444_402,520,3,Visual,0.09807692307692308
TD,TD_444_402,520,3,Olfactory,0
TD,TD_444_402,520,3,Gustatory,0
TD,TD_444_402,520,3,Haptic,0
TD,TD_444_402,520,3,Interoceptive,0.0019230769230769232
TD,TD_444_402,520,3,Multimodal,0.425
TD,TD_444_402,520,3,Amodal,0.4480769230769231
TD,TD_445_217,642,7,Auditory,0.029595015576323987
TD,TD_445_217,642,7,Visual,0.09034267912772585
TD,TD_445_217,642,7,Olfactory,0
TD,TD_445_217,642,7,Gustatory,0
TD,TD_445_217,642,7,Haptic,0.001557632398753894
TD,TD_445_217,642,7,Interoceptive,0.003115264797507788
TD,TD_445_217,642,7,Multimodal,0.42990654205607476
TD,TD_445_217,642,7,Amodal,0.4454828660436137
TD,TD_447_448,300,4,Auditory,0.05333333333333334
TD,TD_447_448,300,4,Visual,0.08
TD,TD_447_448,300,4,Olfactory,0.0033333333333333335
TD,TD_447_448,300,4,Gustatory,0.006666666666666667
TD,TD_447_448,300,4,Haptic,0.006666666666666667
TD,TD_447_448,300,4,Interoceptive,0.01
TD,TD_447_448,300,4,Multimodal,0.38666666666666666
TD,TD_447_448,300,4,Amodal,0.4533333333333333
TD,TD_448_304,320,5,Auditory,0.046875
TD,TD_448_304,320,5,Visual,0.1
TD,TD_448_304,320,5,Olfactory,0
TD,TD_448_304,320,5,Gustatory,0
TD,TD_448_304,320,5,Haptic,0
TD,TD_448_304,320,5,Interoceptive,0.009375
TD,TD_448_304,320,5,Multimodal,0.384375
TD,TD_448_304,320,5,Amodal,0.459375
TD,TD_449_716,369,8,Auditory,0.037940379403794036
TD,TD_449_716,369,8,Visual,0.1978319783197832
TD,TD_449_716,369,8,Olfactory,0.005420054200542005
TD,TD_449_716,369,8,Gustatory,0
TD,TD_449_716,369,8,Haptic,0.0027100271002710027
TD,TD_449_716,369,8,Interoceptive,0
TD,TD_449_716,369,8,Multimodal,0.37669376693766937
TD,TD_449_716,369,8,Amodal,0.3794037940379404
TD,TD_463_254,578,11,Auditory,0.04325259515570934
TD,TD_463_254,578,11,Visual,0.08823529411764706
TD,TD_463_254,578,11,Olfactory,0
TD,TD_463_254,578,11,Gustatory,0
TD,TD_463_254,578,11,Haptic,0
TD,TD_463_254,578,11,Interoceptive,0
TD,TD_463_254,578,11,Multimodal,0.42387543252595156
TD,TD_463_254,578,11,Amodal,0.444636678200692
TD,TD_464_188,384,12,Auditory,0.036458333333333336
TD,TD_464_188,384,12,Visual,0.08333333333333333
TD,TD_464_188,384,12,Olfactory,0
TD,TD_464_188,384,12,Gustatory,0
TD,TD_464_188,384,12,Haptic,0.0078125
TD,TD_464_188,384,12,Interoceptive,0
TD,TD_464_188,384,12,Multimodal,0.4427083333333333
TD,TD_464_188,384,12,Amodal,0.4296875
TD,TD_465_541,494,9,Auditory,0.05465587044534413
TD,TD_465_541,494,9,Visual,0.12348178137651822
TD,TD_465_541,494,9,Olfactory,0.0020242914979757085
TD,TD_465_541,494,9,Gustatory,0
TD,TD_465_541,494,9,Haptic,0
TD,TD_465_541,494,9,Interoceptive,0
TD,TD_465_541,494,9,Multimodal,0.5445344129554656
TD,TD_465_541,494,9,Amodal,0.27530364372469635
TD,TD_472_829,254,14,Auditory,0.05511811023622047
TD,TD_472_829,254,14,Visual,0.11023622047244094
TD,TD_472_829,254,14,Olfactory,0
TD,TD_472_829,254,14,Gustatory,0
TD,TD_472_829,254,14,Haptic,0.011811023622047244
TD,TD_472_829,254,14,Interoceptive,0.015748031496062992
TD,TD_472_829,254,14,Multimodal,0.484251968503937
TD,TD_472_829,254,14,Amodal,0.3228346456692913
TD,TD_473_844,474,15,Auditory,0.029535864978902954
TD,TD_473_844,474,15,Visual,0.10970464135021098
TD,TD_473_844,474,15,Olfactory,0
TD,TD_473_844,474,15,Gustatory,0
TD,TD_473_844,474,15,Haptic,0.004219409282700422
TD,TD_473_844,474,15,Interoceptive,0.004219409282700422
TD,TD_473_844,474,15,Multimodal,0.4219409282700422
TD,TD_473_844,474,15,Amodal,0.43037974683544306
TD,TD_474_966,315,13,Auditory,0.031746031746031744
TD,TD_474_966,315,13,Visual,0.21587301587301588
TD,TD_474_966,315,13,Olfactory,0
TD,TD_474_966,315,13,Gustatory,0
TD,TD_474_966,315,13,Haptic,0
TD,TD_474_966,315,13,Interoceptive,0
TD,TD_474_966,315,13,Multimodal,0.4666666666666667
TD,TD_474_966,315,13,Amodal,0.2857142857142857
TD,TD_475_481,17,16,Auditory,0.11764705882352941
TD,TD_475_481,17,16,Visual,0.058823529411764705
TD,TD_475_481,17,16,Olfactory,0
TD,TD_475_481,17,16,Gustatory,0
TD,TD_475_481,17,16,Haptic,0
TD,TD_475_481,17,16,Interoceptive,0
TD,TD_475_481,17,16,Multimodal,0.5294117647058824
TD,TD_475_481,17,16,Amodal,0.29411764705882354
TD,TD_477_217,345,10,Auditory,0.0463768115942029
TD,TD_477_217,345,10,Visual,0.09565217391304348
TD,TD_477_217,345,10,Olfactory,0
TD,TD_477_217,345,10,Gustatory,0
TD,TD_477_217,345,10,Haptic,0
TD,TD_477_217,345,10,Interoceptive,0.005797101449275362
