VIHI_ID,verb_utt_count,group,pair,verb_temporality,prop
TD_436_678,531,TD,1,displaced,0.2975517890772128
TD_436_678,531,TD,1,present,0.4990583804143126
TD_436_678,531,TD,1,ambiguous,0.2033898305084746
TD_443_341,290,TD,2,displaced,0.33448275862068966
TD_443_341,290,TD,2,present,0.5
TD_443_341,290,TD,2,ambiguous,0.16551724137931034
TD_444_402,375,TD,3,displaced,0.304
TD_444_402,375,TD,3,present,0.5786666666666667
TD_444_402,375,TD,3,ambiguous,0.11733333333333333
TD_445_217,421,TD,7,displaced,0.3159144893111639
TD_445_217,421,TD,7,present,0.5558194774346793
TD_445_217,421,TD,7,ambiguous,0.12826603325415678
TD_447_448,269,TD,4,displaced,0.3903345724907063
TD_447_448,269,TD,4,present,0.4795539033457249
TD_447_448,269,TD,4,ambiguous,0.13011152416356878
TD_448_304,276,TD,5,displaced,0.2608695652173913
TD_448_304,276,TD,5,present,0.6086956521739131
TD_448_304,276,TD,5,ambiguous,0.13043478260869565
TD_449_716,253,TD,8,displaced,0.31620553359683795
TD_449_716,253,TD,8,present,0.5573122529644269
TD_449_716,253,TD,8,ambiguous,0.12648221343873517
TD_463_254,485,TD,11,displaced,0.31958762886597936
TD_463_254,485,TD,11,present,0.5216494845360825
TD_463_254,485,TD,11,ambiguous,0.15876288659793814
TD_464_188,355,TD,12,displaced,0.3211267605633803
TD_464_188,355,TD,12,present,0.49859154929577465
TD_464_188,355,TD,12,ambiguous,0.18028169014084508
TD_465_541,289,TD,9,displaced,0.2560553633217993
TD_465_541,289,TD,9,present,0.5467128027681661
TD_465_541,289,TD,9,ambiguous,0.1972318339100346
TD_472_829,229,TD,14,displaced,0.2925764192139738
TD_472_829,229,TD,14,present,0.45414847161572053
TD_472_829,229,TD,14,ambiguous,0.25327510917030566
TD_473_844,393,TD,15,displaced,0.26463104325699743
TD_473_844,393,TD,15,present,0.5343511450381679
TD_473_844,393,TD,15,ambiguous,0.2010178117048346
TD_474_966,245,TD,13,displaced,0.2530612244897959
TD_474_966,245,TD,13,present,0.5673469387755102
TD_474_966,245,TD,13,ambiguous,0.17959183673469387
TD_475_481,23,TD,16,displaced,0.13043478260869565
TD_475_481,23,TD,16,present,0.5217391304347826
TD_475_481,23,TD,16,ambiguous,0.34782608695652173
TD_477_217,360,TD,10,displaced,0.2916666666666667
TD_477_217,360,TD,10,present,0.4527777777777778
TD_477_217,360,TD,10,ambiguous,0.25555555555555554
VI_001_676,362,VI,1,displaced,0.3729281767955801
VI_001_676,362,VI,1,present,0.42265193370165743
VI_001_676,362,VI,1,ambiguous,0.20441988950276244
VI_002_336,241,VI,2,displaced,0.4024896265560166
VI_002_336,241,VI,2,present,0.5145228215767634
VI_002_336,241,VI,2,ambiguous,0.08298755186721991
VI_003_405,258,VI,3,displaced,0.3333333333333333
VI_003_405,258,VI,3,present,0.44573643410852715
VI_003_405,258,VI,3,ambiguous,0.22093023255813954
VI_004_415,183,VI,4,displaced,0.31693989071038253
VI_004_415,183,VI,4,present,0.5136612021857924
VI_004_415,183,VI,4,ambiguous,0.16939890710382513
VI_005_263,195,VI,5,displaced,0.26153846153846155
VI_005_263,195,VI,5,present,0.49743589743589745
VI_005_263,195,VI,5,ambiguous,0.24102564102564103
VI_007_204,138,VI,7,displaced,0.3188405797101449
VI_007_204,138,VI,7,present,0.5144927536231884
VI_007_204,138,VI,7,ambiguous,0.16666666666666666
VI_008_707,389,VI,8,displaced,0.390745501285347
VI_008_707,389,VI,8,present,0.4601542416452442
VI_008_707,389,VI,8,ambiguous,0.14910025706940874
VI_012_562,351,VI,9,displaced,0.42165242165242167
VI_012_562,351,VI,9,present,0.43874643874643876
VI_012_562,351,VI,9,ambiguous,0.1396011396011396
VI_013_206,307,VI,10,displaced,0.36156351791530944
VI_013_206,307,VI,10,present,0.48534201954397393
VI_013_206,307,VI,10,ambiguous,0.15309446254071662
VI_014_242,210,VI,11,displaced,0.3333333333333333
VI_014_242,210,VI,11,present,0.5428571428571428
VI_014_242,210,VI,11,ambiguous,0.12380952380952381
VI_015_195,368,VI,12,displaced,0.25815217391304346
VI_015_195,368,VI,12,present,0.6494565217391305
VI_015_195,368,VI,12,ambiguous,0.09239130434782608
VI_018_924,72,VI,13,displaced,0.4305555555555556
VI_018_924,72,VI,13,present,0.4444444444444444
VI_018_924,72,VI,13,ambiguous,0.125
VI_033_820,461,VI,14,displaced,0.36225596529284165
VI_033_820,461,VI,14,present,0.49891540130151846
VI_033_820,461,VI,14,ambiguous,0.13882863340563992
VI_037_868,146,VI,15,displaced,0.23972602739726026
VI_037_868,146,VI,15,present,0.6301369863013698
VI_037_868,146,VI,15,ambiguous,0.13013698630136986
VI_047_440,455,VI,16,displaced,0.2835164835164835
VI_047_440,455,VI,16,present,0.6153846153846154
VI_047_440,455,VI,16,ambiguous,0.1010989010989011
