VIHI_ID,verb_utt_count,prop_displaced,prop_present,prop_ambiguous,group,pair
TD_436_678,530,0.2981132075471698,0.5037735849056604,0.19811320754716982,TD,1
TD_443_341,290,0.33448275862068966,0.503448275862069,0.16206896551724137,TD,2
TD_444_402,353,0.26345609065155806,0.6062322946175638,0.13031161473087818,TD,3
TD_445_217,421,0.3182897862232779,0.5558194774346793,0.12589073634204276,TD,7
TD_447_448,269,0.3903345724907063,0.4795539033457249,0.13011152416356878,TD,4
TD_448_304,277,0.259927797833935,0.6137184115523465,0.1263537906137184,TD,5
TD_449_716,252,0.31746031746031744,0.5555555555555556,0.12698412698412698,TD,8
TD_463_254,485,0.32577319587628867,0.5216494845360825,0.15257731958762888,TD,11
TD_464_188,358,0.32122905027932963,0.5,0.1787709497206704,TD,12
TD_465_541,346,0.2543352601156069,0.5491329479768786,0.19653179190751446,TD,9
TD_472_829,229,0.2925764192139738,0.4585152838427948,0.24890829694323144,TD,14
TD_473_844,390,0.2641025641025641,0.541025641025641,0.19487179487179487,TD,15
TD_474_966,245,0.2571428571428571,0.563265306122449,0.17959183673469387,TD,13
TD_475_481,23,0.13043478260869565,0.5217391304347826,0.34782608695652173,TD,16
TD_477_217,360,0.2916666666666667,0.45555555555555555,0.25277777777777777,TD,10
VI_001_676,365,0.3726027397260274,0.4273972602739726,0.2,VI,1
VI_002_336,242,0.3925619834710744,0.5165289256198347,0.09090909090909091,VI,2
VI_003_405,256,0.33984375,0.4453125,0.21484375,VI,3
VI_004_415,191,0.31413612565445026,0.5130890052356021,0.17277486910994763,VI,4
VI_005_411,281,0.3701067615658363,0.5088967971530249,0.12099644128113879,VI,6
VI_007_204,137,0.32116788321167883,0.5182481751824818,0.16058394160583941,VI,7
VI_008_707,442,0.3891402714932127,0.4592760180995475,0.1515837104072398,VI,8
VI_012_562,356,0.4157303370786517,0.44662921348314605,0.13764044943820225,VI,9
VI_013_206,308,0.36688311688311687,0.4837662337662338,0.14935064935064934,VI,10
VI_014_242,212,0.33490566037735847,0.5377358490566038,0.12735849056603774,VI,11
VI_015_195,371,0.2560646900269542,0.6495956873315364,0.09433962264150944,VI,12
VI_018_924,72,0.4305555555555556,0.4444444444444444,0.125,VI,13
VI_033_820,465,0.36774193548387096,0.4924731182795699,0.13978494623655913,VI,14
VI_037_868,146,0.23972602739726026,0.6301369863013698,0.13013698630136986,VI,15
VI_047_440,439,0.26879271070615035,0.6287015945330297,0.10250569476082004,VI,16
