group,VIHI_ID,total,pair,addressee,prop
TD,TD_436_678,555,1,ADS,0.3891891891891892
TD,TD_436_678,555,1,CDS,0.5765765765765766
TD,TD_436_678,555,1,BDS,0.014414414414414415
TD,TD_436_678,555,1,TDS,0
TD,TD_436_678,555,1,ODS,0.010810810810810811
TD,TD_436_678,555,1,UDS,0
TD,TD_436_678,555,1,PDS,0.009009009009009009
TD,TD_443_341,286,2,ADS,0.44755244755244755
TD,TD_443_341,286,2,CDS,0.5
TD,TD_443_341,286,2,BDS,0.024475524475524476
TD,TD_443_341,286,2,TDS,0
TD,TD_443_341,286,2,ODS,0.027972027972027972
TD,TD_443_341,286,2,UDS,0
TD,TD_443_341,286,2,PDS,0
TD,TD_444_402,207,3,ADS,0.4057971014492754
TD,TD_444_402,207,3,CDS,0.5652173913043478
TD,TD_444_402,207,3,BDS,0.014492753623188406
TD,TD_444_402,207,3,TDS,0
TD,TD_444_402,207,3,ODS,0.004830917874396135
TD,TD_444_402,207,3,UDS,0.00966183574879227
TD,TD_444_402,207,3,PDS,0
TD,TD_445_217,348,7,ADS,0.3994252873563218
TD,TD_445_217,348,7,CDS,0.5517241379310345
TD,TD_445_217,348,7,BDS,0
TD,TD_445_217,348,7,TDS,0
TD,TD_445_217,348,7,ODS,0.04885057471264368
TD,TD_445_217,348,7,UDS,0
TD,TD_445_217,348,7,PDS,0
TD,TD_447_448,229,4,ADS,0.4585152838427948
TD,TD_447_448,229,4,CDS,0.47161572052401746
TD,TD_447_448,229,4,BDS,0.05240174672489083
TD,TD_447_448,229,4,TDS,0
TD,TD_447_448,229,4,ODS,0
TD,TD_447_448,229,4,UDS,0.004366812227074236
TD,TD_447_448,229,4,PDS,0.013100436681222707
TD,TD_448_304,254,5,ADS,0.889763779527559
TD,TD_448_304,254,5,CDS,0.09448818897637795
TD,TD_448_304,254,5,BDS,0.007874015748031496
TD,TD_448_304,254,5,TDS,0
TD,TD_448_304,254,5,ODS,0
TD,TD_448_304,254,5,UDS,0
TD,TD_448_304,254,5,PDS,0.007874015748031496
TD,TD_449_716,291,8,ADS,0.33676975945017185
TD,TD_449_716,291,8,CDS,0.4536082474226804
TD,TD_449_716,291,8,BDS,0.037800687285223365
TD,TD_449_716,291,8,TDS,0
TD,TD_449_716,291,8,ODS,0.16838487972508592
TD,TD_449_716,291,8,UDS,0
TD,TD_449_716,291,8,PDS,0.003436426116838488
TD,TD_463_254,537,11,ADS,0.3780260707635009
TD,TD_463_254,537,11,CDS,0.5586592178770949
TD,TD_463_254,537,11,BDS,0.05027932960893855
TD,TD_463_254,537,11,TDS,0
TD,TD_463_254,537,11,ODS,0.00931098696461825
TD,TD_463_254,537,11,UDS,0
TD,TD_463_254,537,11,PDS,0.0037243947858473
TD,TD_464_188,177,12,ADS,0.5141242937853108
TD,TD_464_188,177,12,CDS,0.4180790960451977
TD,TD_464_188,177,12,BDS,0.05649717514124294
TD,TD_464_188,177,12,TDS,0
TD,TD_464_188,177,12,ODS,0.005649717514124294
TD,TD_464_188,177,12,UDS,0.005649717514124294
TD,TD_464_188,177,12,PDS,0
TD,TD_465_541,284,9,ADS,0.16549295774647887
TD,TD_465_541,284,9,CDS,0.7570422535211268
TD,TD_465_541,284,9,BDS,0.02112676056338028
TD,TD_465_541,284,9,TDS,0
TD,TD_465_541,284,9,ODS,0.02112676056338028
TD,TD_465_541,284,9,UDS,0
TD,TD_465_541,284,9,PDS,0.035211267605633804
TD,TD_472_829,215,14,ADS,0.05116279069767442
TD,TD_472_829,215,14,CDS,0.9488372093023256
TD,TD_472_829,215,14,BDS,0
TD,TD_472_829,215,14,TDS,0
TD,TD_472_829,215,14,ODS,0
TD,TD_472_829,215,14,UDS,0
TD,TD_472_829,215,14,PDS,0
TD,TD_473_844,367,15,ADS,0.2506811989100817
TD,TD_473_844,367,15,CDS,0.7220708446866485
TD,TD_473_844,367,15,BDS,0.021798365122615803
TD,TD_473_844,367,15,TDS,0
TD,TD_473_844,367,15,ODS,0.005449591280653951
TD,TD_473_844,367,15,UDS,0
TD,TD_473_844,367,15,PDS,0
TD,TD_474_966,207,13,ADS,0.21739130434782608
TD,TD_474_966,207,13,CDS,0.5893719806763285
TD,TD_474_966,207,13,BDS,0.05314009661835749
TD,TD_474_966,207,13,TDS,0
TD,TD_474_966,207,13,ODS,0.12077294685990338
TD,TD_474_966,207,13,UDS,0.01932367149758454
TD,TD_474_966,207,13,PDS,0
TD,TD_475_481,55,16,ADS,0.18181818181818182
TD,TD_475_481,55,16,CDS,0.7636363636363637
TD,TD_475_481,55,16,BDS,0.05454545454545454
TD,TD_475_481,55,16,TDS,0
TD,TD_475_481,55,16,ODS,0
TD,TD_475_481,55,16,UDS,0
TD,TD_475_481,55,16,PDS,0
TD,TD_477_217,511,10,ADS,0.3972602739726027
TD,TD_477_217,511,10,CDS,0.5772994129158513
TD,TD_477_217,511,10,BDS,0.021526418786692758
TD,TD_477_217,511,10,TDS,0
TD,TD_477_217,511,10,ODS,0.003913894324853229
TD,TD_477_217,511,10,UDS,0
TD,TD_477_217,511,10,PDS,0
VI,VI_001_676,311,1,ADS,0.35691318327974275
VI,VI_001_676,311,1,CDS,0.6334405144694534
VI,VI_001_676,311,1,BDS,0.003215434083601286
VI,VI_001_676,311,1,TDS,0
VI,VI_001_676,311,1,ODS,0
VI,VI_001_676,311,1,UDS,0
VI,VI_001_676,311,1,PDS,0.006430868167202572
VI,VI_002_336,149,2,ADS,0.785234899328859
VI,VI_002_336,149,2,CDS,0.18791946308724833
VI,VI_002_336,149,2,BDS,0.006711409395973154
VI,VI_002_336,149,2,TDS,0
VI,VI_002_336,149,2,ODS,0.020134228187919462
VI,VI_002_336,149,2,UDS,0
VI,VI_002_336,149,2,PDS,0
VI,VI_003_405,239,3,ADS,0.3472803347280335
VI,VI_003_405,239,3,CDS,0.42677824267782427
VI,VI_003_405,239,3,BDS,0.19665271966527198
VI,VI_003_405,239,3,TDS,0
VI,VI_003_405,239,3,ODS,0.02510460251046025
VI,VI_003_405,239,3,UDS,0
VI,VI_003_405,239,3,PDS,0.0041841004184100415
VI,VI_004_415,176,4,ADS,0.2784090909090909
VI,VI_004_415,176,4,CDS,0.7045454545454546
VI,VI_004_415,176,4,BDS,0.005681818181818182
VI,VI_004_415,176,4,TDS,0
VI,VI_004_415,176,4,ODS,0.011363636363636364
VI,VI_004_415,176,4,UDS,0
VI,VI_004_415,176,4,PDS,0
VI,VI_005_263,122,5,ADS,0.29508196721311475
VI,VI_005_263,122,5,CDS,0.6147540983606558
VI,VI_005_263,122,5,BDS,0.01639344262295082
VI,VI_005_263,122,5,TDS,0
VI,VI_005_263,122,5,ODS,0.07377049180327869
VI,VI_005_263,122,5,UDS,0
VI,VI_005_263,122,5,PDS,0
VI,VI_007_204,177,7,ADS,0.3672316384180791
VI,VI_007_204,177,7,CDS,0.4519774011299435
VI,VI_007_204,177,7,BDS,0.15819209039548024
VI,VI_007_204,177,7,TDS,0
VI,VI_007_204,177,7,ODS,0.022598870056497175
VI,VI_007_204,177,7,UDS,0
VI,VI_007_204,177,7,PDS,0
VI,VI_008_707,313,8,ADS,0.30670926517571884
VI,VI_008_707,313,8,CDS,0.6485623003194888
VI,VI_008_707,313,8,BDS,0.03194888178913738
VI,VI_008_707,313,8,TDS,0
VI,VI_008_707,313,8,ODS,0
VI,VI_008_707,313,8,UDS,0
VI,VI_008_707,313,8,PDS,0.012779552715654952
VI,VI_012_562,356,9,ADS,0.41853932584269665
VI,VI_012_562,356,9,CDS,0.4747191011235955
VI,VI_012_562,356,9,BDS,0.07865168539325842
VI,VI_012_562,356,9,TDS,0
VI,VI_012_562,356,9,ODS,0.028089887640449437
VI,VI_012_562,356,9,UDS,0
VI,VI_012_562,356,9,PDS,0
VI,VI_013_206,211,10,ADS,0.3459715639810427
VI,VI_013_206,211,10,CDS,0.6255924170616114
VI,VI_013_206,211,10,BDS,0
VI,VI_013_206,211,10,TDS,0
VI,VI_013_206,211,10,ODS,0.023696682464454975
VI,VI_013_206,211,10,UDS,0.004739336492890996
VI,VI_013_206,211,10,PDS,0
VI,VI_014_242,242,11,ADS,0.33884297520661155
VI,VI_014_242,242,11,CDS,0.6033057851239669
VI,VI_014_242,242,11,BDS,0.05785123966942149
VI,VI_014_242,242,11,TDS,0
VI,VI_014_242,242,11,ODS,0
VI,VI_014_242,242,11,UDS,0
VI,VI_014_242,242,11,PDS,0
VI,VI_015_195,229,12,ADS,0.4759825327510917
VI,VI_015_195,229,12,CDS,0.4497816593886463
VI,VI_015_195,229,12,BDS,0.017467248908296942
VI,VI_015_195,229,12,TDS,0
VI,VI_015_195,229,12,ODS,0
VI,VI_015_195,229,12,UDS,0
VI,VI_015_195,229,12,PDS,0.056768558951965066
VI,VI_018_924,107,13,ADS,0.45794392523364486
VI,VI_018_924,107,13,CDS,0.2803738317757009
VI,VI_018_924,107,13,BDS,0
VI,VI_018_924,107,13,TDS,0
VI,VI_018_924,107,13,ODS,0.2616822429906542
VI,VI_018_924,107,13,UDS,0
VI,VI_018_924,107,13,PDS,0
VI,VI_033_820,368,14,ADS,0.1983695652173913
VI,VI_033_820,368,14,CDS,0.75
VI,VI_033_820,368,14,BDS,0.029891304347826088
VI,VI_033_820,368,14,TDS,0
VI,VI_033_820,368,14,ODS,0.005434782608695652
VI,VI_033_820,368,14,UDS,0
VI,VI_033_820,368,14,PDS,0.016304347826086956
VI,VI_037_868,92,15,ADS,0
VI,VI_037_868,92,15,CDS,1
VI,VI_037_868,92,15,BDS,0
VI,VI_037_868,92,15,TDS,0
VI,VI_037_868,92,15,ODS,0
